CPF/CNPJ;Nome Credor;Empenho;Modalidade de Empenho;Tipo de Licitação;Empenhado;Liquidado;Pago
11.250.881/0001-15;3IT CONSULTORIA LTDA;177; / SUBEMPENHO 1;;0.00;1546.67;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;177; / SUBEMPENHO 2;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;177; / SUBEMPENHO 3;;0.00;2900.00;0.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;177;;;0.00;0.00;1546.67
11.250.881/0001-15;3IT CONSULTORIA LTDA;177;;;0.00;0.00;2900.00
11.250.881/0001-15;3IT CONSULTORIA LTDA;177;;;7346.67;0.00;0.00
11.957.607/0001-80;3 P DISTRIBUIDORA E COMERCIO DE INFORMATICA LTDA;359;;;9879.00;0.00;0.00
11.957.607/0001-80;3 P DISTRIBUIDORA E COMERCIO DE INFORMATICA LTDA;359;;;0.00;0.00;0.00
11.957.607/0001-80;3 P DISTRIBUIDORA E COMERCIO DE INFORMATICA LTDA;359;;;0.00;0.00;0.00
11.957.607/0001-80;3 P DISTRIBUIDORA E COMERCIO DE INFORMATICA LTDA;953;;;0.00;0.00;0.00
11.957.607/0001-80;3 P DISTRIBUIDORA E COMERCIO DE INFORMATICA LTDA;953;;;9879.00;0.00;0.00
13.258.693/0001-69;5 R SERVICOS E EVENTOS LTDA.;249; / SUBEMPENHO 1;;0.00;408567.12;0.00
13.258.693/0001-69;5 R SERVICOS E EVENTOS LTDA.;249; / SUBEMPENHO 2;;0.00;408567.12;0.00
13.258.693/0001-69;5 R SERVICOS E EVENTOS LTDA.;249; / SUBEMPENHO 3;;0.00;408567.12;0.00
13.258.693/0001-69;5 R SERVICOS E EVENTOS LTDA.;249; / SUBEMPENHO 4;;0.00;408567.12;0.00
13.258.693/0001-69;5 R SERVICOS E EVENTOS LTDA.;249; / SUBEMPENHO 5;;0.00;387537.93;0.00
